datetime,open,high,low,close,volume
08-11-2020,11.07375,11.13675,10.79575,10.85,354510520
08-12-2020,10.99075,11.467,10.95825,11.44025,464942920
08-13-2020,11.546,11.72175,11.35575,11.443,374459560
08-14-2020,11.53,11.70475,11.4405,11.564,366436160
08-17-2020,11.85125,12.40975,11.81719,12.337,621300920
08-18-2020,12.45,12.496,12.08625,12.26075,503446200
08-19-2020,12.2965,12.315,12.098,12.1385,622622320
08-20-2020,11.975,12.375,11.87875,12.141,921386240
08-21-2020,12.20175,12.8087,12.19516,12.6835,999869520
08-24-2020,12.88375,12.9125,12.5075,12.72025,490564200
08-25-2020,12.63075,12.76125,12.57375,12.75,289076800
08-26-2020,12.799235,12.86849,12.67775,12.773,321242920
08-27-2020,12.7815,12.85,12.5664325,12.62825,317602920
08-28-2020,12.6749125,13.148,12.6425,13.14775,537158520
08-31-2020,13.182785,13.575,13.03775,13.3745,500841200
09-01-2020,13.48,13.99375,13.4365,13.821,512473960
09-02-2020,14.70375,14.7267475,13.9,14.3465,874012880
09-03-2020,13.828635,13.8845,12.87875,13.0155,945126040
09-04-2020,12.78375,13.175,11.70475,12.6225,1463682840
09-08-2020,11.7345,12.55,11.70425,11.913,795729480
09-09-2020,12.4,12.80925,12.23175,12.715,736198280
09-10-2020,12.98925,13.06525,12.167,12.31175,698684440
09-11-2020,12.4855,12.6525,11.89575,12.1645,636926880
09-14-2020,13.081,13.315,12.6311425,12.87225,1201744960
09-15-2020,13.28,13.29875,12.82775,12.991,727556560
09-16-2020,12.95725,13.09275,12.51375,12.5145,557599400
09-17-2020,12.132235,12.58975,12.03475,12.4635,792511760
09-18-2020,12.59375,12.6325,11.98875,12.18925,698461920
09-21-2020,11.925,12.5225,11.9045,12.51725,721042440
09-22-2020,12.575,12.6479975,12.15555,12.63775,646452080
09-23-2020,12.5755,12.727,12.07925,12.12375,647012320
09-24-2020,12.07225,12.5695,12.014,12.348,731240320
09-25-2020,12.4475,12.8835,12.24575,12.87375,588016280
09-28-2020,13.04025,13.05175,12.75,13.035,573809120
09-29-2020,12.9375,13.44275,12.93325,13.22575,623004960
09-30-2020,13.1575,13.6225,13.15025,13.5305,689184120
10-01-2020,13.758,13.7627375,13.4607525,13.6145,525002360
10-02-2020,13.225,13.5195,13.051,13.06225,552495880
10-05-2020,13.236,13.64425,13.222765,13.6425,479818280
10-06-2020,13.83,14.142,13.665,13.7365,784419840
10-07-2020,13.99975,14.11925,13.8635,13.964,418085160
10-08-2020,14.075,14.0845,13.758,13.83875,378900880
10-09-2020,13.767,13.82425,13.66075,13.76275,346890920
10-12-2020,13.9895,14.347,13.9125,14.226,434743800
10-13-2020,14.2965,14.3484975,14.018625,14.24825,344603120
10-14-2020,14.2905,14.34275,13.96,14.09525,276647120
10-15-2020,13.81068,14.00575,13.76775,13.97,267225120
10-16-2020,14.03675,14.1215,13.7925,13.8115,242639600
10-19-2020,13.902875,13.9834975,13.40675,13.49775,298068560
10-20-2020,13.5835,13.79975,13.5070025,13.6455,229212040
10-21-2020,13.625,13.7915,13.4775025,13.52475,219597320
10-22-2020,13.5225,13.61175,13.23175,13.361,290479440
10-23-2020,13.45,13.59325,13.29125,13.59025,233484280
10-26-2020,13.427,13.6927925,13.0385,13.14125,336894320
10-27-2020,13.306,13.442,13.1915,13.39675,250519680
10-28-2020,13.198,13.26,12.609,12.627,376518080
10-29-2020,12.8385,13.19275,12.75,13.024,320081840
10-30-2020,12.85,12.936375,12.3,12.534,417396000
11-02-2020,12.65775,12.8366575,12.395,12.58075,299652640
11-03-2020,12.7085,13.105,12.60275,13.0195,272901080
11-04-2020,13.38925,13.8275,13.336875,13.79425,410229280
11-05-2020,14.1625,14.339,13.991,14.16,319028320
11-06-2020,14.10975,14.58875,13.895,14.562,383349280
11-09-2020,14.5525,14.6915,13.61075,13.63075,582977880
11-10-2020,13.6065,13.6065,12.62825,12.77,644067200
11-11-2020,13.05375,13.434875,12.94825,13.418,404743440
11-12-2020,13.4789225,13.766,13.316,13.45675,366635000
11-13-2020,13.6272775,13.6687475,13.05925,13.297,346762320
11-16-2020,13.1725,13.6495,13.1560025,13.51525,413774800
11-17-2020,13.5525,13.59625,13.3038725,13.42225,312027960
11-18-2020,13.46525,13.60575,13.185,13.42875,510925320
11-19-2020,13.21275,13.4875,13.1,13.44025,565934200
11-20-2020,13.454,13.4944975,13.065,13.08775,341089800
11-23-2020,13.17113,13.3825,13.0155,13.14,361354200
11-24-2020,13.1425,13.162,12.885,12.95775,346499960
11-25-2020,13.0325,13.26939,13.02,13.23475,259916400
11-27-2020,13.375,13.4075,13.170545,13.26125,167275200
11-30-2020,13.265,13.4125,12.9723525,13.4015,286952000
12-01-2020,13.49225,13.52875,13.22825,13.39,297571280
12-02-2020,13.3505,13.6734425,13.23425,13.5445,283361200
12-03-2020,13.5875,13.66,13.329,13.396,199520640
12-04-2020,13.4485,13.5599975,13.38869,13.55825,202243400
12-07-2020,13.60125,13.73125,13.5,13.60675,223243240
12-08-2020,13.585,13.59875,13.2815,13.35,271920880
12-09-2020,13.3005,13.414,12.8682375,12.93075,401301200
12-10-2020,12.869,13.0687475,12.849375,12.97225,207764720
12-11-2020,12.96725,13.02,12.823,13.01325,209265640
12-14-2020,13.087875,13.38875,13.0775,13.30875,270157880
12-15-2020,13.43975,13.464,13.18675,13.3605,193485920
12-16-2020,13.4224975,13.43725,13.2125,13.2425,223114680
12-17-2020,13.36675,13.3795,13.1785,13.34125,231383880
12-18-2020,13.379,13.405,13.0705,13.272,342064640
12-21-2020,13.07475,13.37,12.9675,13.33225,302332160
12-22-2020,13.31925,13.3372475,13.05388,13.27825,186314880
12-23-2020,13.256,13.275,13.005,13.00925,179142760
12-24-2020,13.03725,13.1325,12.93875,12.99375,97883520
12-28-2020,13.0625,13.0625,12.763175,12.9,212565640
12-29-2020,12.925,13.0725,12.84225,12.94325,170372160
12-30-2020,12.99031,13.21375,12.89675,13.14575,225397160
12-31-2020,13.1365,13.151125,12.915,13.055,192424400
01-04-2021,13.10425,13.6524975,12.9625,13.1135,560641800
01-05-2021,13.09975,13.4435,13.087,13.40475,322759920
01-06-2021,13.2225,13.245,12.586,12.6145,580423000
01-07-2021,12.9675,13.37775,12.8865025,13.344,461481480
01-08-2021,13.3625,13.4209975,13.042,13.27675,292528600
01-11-2021,13.41875,13.961,13.3625,13.6215,519028800
01-12-2021,13.7525,13.7545,13.345,13.48475,291477720
01-13-2021,13.489965,13.6249975,13.3850025,13.53175,210028440
01-14-2021,13.575,13.59975,13.1805,13.20025,283120280
01-15-2021,13.228,13.32525,12.8485,12.8595,277781280
01-19-2021,13.01625,13.0939825,12.844,13.02525,226186880
01-20-2021,13.11175,13.4305,13.05675,13.36575,258570880
01-21-2021,13.418605,13.9993575,13.2530025,13.8675,338339600
01-22-2021,13.7400875,13.8417325,13.62725,13.7125,246818560
01-25-2021,13.78175,13.8285,13.23648,13.65325,251111160
01-26-2021,13.58044,13.64475,13.3875,13.43525,163980400
01-27-2021,13.23,13.23275,12.79375,12.91775,371272840
01-28-2021,12.99625,13.33975,12.9605,13.051,228315960
01-29-2021,13.075,13.33475,12.911505,12.98975,271552040
02-01-2021,13.0533375,13.27075,12.90275,13.237,217204320
02-02-2021,13.39875,13.572,13.2854975,13.55675,220438280
02-03-2021,13.636,13.93175,13.5165,13.5305,245409280
